Age Range,Current Work Arrangement,Industry,Hours Worked Per Week,Tasks Completed Per Week,Overall Productivity (1-5),Deadline Adherence,Productive Where,Work-Life Balance (1-5),Collaboration Tool Satisfaction (1-5),Manager Support (1-5),Feel Isolated
55+,Fully In-Office,Content Creation,43,37,3,Most,Office,5,2,4,Yes
25-34,Fully In-Office,Crypto Trading,49,42,2,Sometimes,Home,1,2,3,Yes
25-34,Fully In-Office,Content Creation,50,28,2,Rarely,Home,4,1,4,Yes
25-34,Hybrid (Mix of remote and in-office),Freelance Writing,48,23,2,Most,Office,4,3,4,Yes
25-34,Hybrid (Mix of remote and in-office),Data Science,47,46,5,Most,Home,2,1,5,Sometimes
25-34,Fully Remote,App Development,40,29,2,Sometimes,Home,4,1,2,No
35-44,Fully Remote,Health & Wellness Coaching,39,22,3,Most,No difference,3,1,3,Sometimes
25-34,Fully In-Office,Virtual Tutoring,40,40,1,Most,Office,1,5,2,Sometimes
35-44,Hybrid (Mix of remote and in-office),Virtual Tutoring,47,44,4,Rarely,No difference,5,5,4,Yes
35-44,Fully In-Office,Online Fitness Training,41,36,2,Sometimes,Home,4,4,2,No
35-44,Hybrid (Mix of remote and in-office),UX/UI Design,35,44,5,Rarely,Office,1,4,1,No
35-44,Hybrid (Mix of remote and in-office),Film Editing,46,23,2,Rarely,Office,4,1,1,Yes
35-44,Hybrid (Mix of remote and in-office),Health & Wellness Coaching,44,40,3,Sometimes,No difference,4,4,3,Sometimes
35-44,Hybrid (Mix of remote and in-office),Online Fitness Training,39,21,4,Rarely,Office,5,4,2,Sometimes
35-44,Fully In-Office,Virtual Tutoring,47,35,2,Always,Office,5,1,4,Yes
18-24,Fully In-Office,Start-up Operations,38,45,4,Sometimes,No difference,5,5,2,Sometimes
18-24,Hybrid (Mix of remote and in-office),Start-up Operations,36,39,2,Sometimes,No difference,5,3,2,Sometimes
18-24,Fully Remote,Film Editing,48,42,3,Always,No difference,4,3,1,Yes
35-44,Hybrid (Mix of remote and in-office),UX/UI Design,42,44,2,Sometimes,No difference,1,4,4,No
35-44,Hybrid (Mix of remote and in-office),Start-up Operations,36,23,4,Always,Office,2,4,4,Sometimes
45-54,Fully In-Office,Freelance Writing,45,26,2,Always,Home,1,4,4,No
55+,Fully In-Office,UX/UI Design,49,27,2,Most,No difference,4,5,1,Sometimes
45-54,Hybrid (Mix of remote and in-office),Music Production,46,43,3,Most,Office,5,2,1,No
45-54,Fully In-Office,Freelance Writing,44,44,3,Most,Office,4,4,5,Sometimes
25-34,Fully In-Office,E-commerce,48,28,4,Sometimes,Office,4,2,1,Yes
25-34,Fully In-Office,Game Development,39,42,2,Always,No difference,3,3,1,Sometimes
18-24,Hybrid (Mix of remote and in-office),Content Creation,38,20,4,Rarely,Office,1,5,2,Yes
35-44,Fully Remote,Health & Wellness Coaching,39,27,3,Always,Home,4,5,1,Yes
18-24,Fully In-Office,Freelance Writing,47,29,3,Rarely,No difference,1,1,3,Sometimes
25-34,Fully Remote,Sports Management,41,22,3,Rarely,Home,5,5,1,Sometimes
18-24,Fully Remote,Game Development,43,21,3,Most,Home,2,4,1,No
25-34,Fully Remote,Sports Management,45,46,5,Always,Office,5,2,1,Yes
35-44,Fully Remote,Music Production,43,22,5,Most,No difference,2,5,4,No
18-24,Hybrid (Mix of remote and in-office),Environmental Activism,42,23,3,Rarely,Home,4,3,5,Yes
35-44,Fully Remote,Data Science,47,49,5,Most,Home,2,4,3,No
18-24,Fully Remote,Health & Wellness Coaching,36,49,4,Rarely,Home,1,1,3,No
18-24,Hybrid (Mix of remote and in-office),Education Technology,37,50,2,Rarely,Office,3,5,3,Yes
35-44,Hybrid (Mix of remote and in-office),App Development,36,45,2,Always,Office,2,1,4,Sometimes
25-34,Fully In-Office,Crypto Trading,43,41,3,Rarely,No difference,2,2,4,Yes
